Timestep,SolFlat,SolN,SolS,SolE,SolW,T_ext_C
2809,0,0,0,0,0,7.2
2810,0,0,0,0,0,6.5
2811,0,0,0,0,0,6.2
2812,0,0,0,0,0,5.8
2813,0,0,0,0,0,5.6
2814,0,0,0,0,0,5.6
2815,0.034,0.033,0.031,0.051,0.022,6.5
2816,0.166,0.14,0.168,0.259,0.064,7.6
2817,0.317,0.244,0.342,0.428,0.158,8.9
2818,0.409,0.301,0.457,0.49,0.267,10.3
2819,0.529,0.371,0.605,0.572,0.404,11.6
2820,0.589,0.396,0.696,0.577,0.514,12.5
2821,0.557,0.393,0.637,0.483,0.546,13.4
2822,0.496,0.379,0.539,0.397,0.521,13.9
2823,0.438,0.347,0.464,0.317,0.495,14.1
2824,0.357,0.294,0.366,0.223,0.438,14.1
2825,0.264,0.232,0.258,0.149,0.362,13.9
2826,0.171,0.166,0.148,0.107,0.264,13.1
2827,0.094,0.148,0.05,0.05,0.307,12.2
2828,0.036,0.034,0.034,0.034,0.034,11.1
2829,0.003,0.003,0.003,0.003,0.003,10.5
2830,0,0,0,0,0,9.8
2831,0,0,0,0,0,9.1
2832,0,0,0,0,0,8.2
2833,0,0,0,0,0,8.3
2834,0,0,0,0,0,8
2835,0,0,0,0,0,7.8
2836,0,0,0,0,0,7.6
2837,0,0,0,0,0,7.4
2838,0,0,0,0,0,7.4
2839,0.038,0.037,0.035,0.052,0.027,8.1
2840,0.155,0.132,0.157,0.24,0.062,9
2841,0.307,0.234,0.341,0.436,0.139,9.9
2842,0.411,0.301,0.459,0.494,0.266,10.6
2843,0.469,0.325,0.55,0.52,0.356,10.6
2844,0.538,0.361,0.639,0.529,0.47,11.9
2845,0.677,0.438,0.806,0.575,0.67,12.5
2846,0.679,0.435,0.812,0.475,0.771,13
2847,0.613,0.415,0.714,0.334,0.794,13.1
2848,0.532,0.393,0.585,0.199,0.779,13
2849,0.387,0.328,0.389,0.119,0.648,12.7
2850,0.24,0.245,0.199,0.103,0.472,12.3
2851,0.106,0.166,0.057,0.057,0.337,11.8
2852,0.031,0.03,0.03,0.03,0.03,11.1
2853,0.004,0.004,0.004,0.004,0.004,10.6
2854,0,0,0,0,0,10.1
2855,0,0,0,0,0,9.5
2856,0,0,0,0,0,8.9
2857,0,0,0,0,0,8.7
2858,0,0,0,0,0,8.2
2859,0,0,0,0,0,7.9
2860,0,0,0,0,0,7.7
2861,0,0,0,0,0,7.6
2862,0,0,0,0,0,7.7
2863,0.051,0.05,0.046,0.075,0.033,8.7
2864,0.115,0.103,0.113,0.151,0.07,10.3
2865,0.19,0.16,0.196,0.228,0.127,12
2866,0.318,0.243,0.351,0.375,0.219,13.4
2867,0.432,0.315,0.487,0.464,0.338,14.5
2868,0.51,0.361,0.583,0.495,0.448,15.3
2869,0.468,0.335,0.533,0.408,0.46,16.1
2870,0.462,0.339,0.52,0.357,0.501,16.7
2871,0.501,0.372,0.554,0.322,0.604,16.9
2872,0.38,0.301,0.404,0.195,0.51,16.9
2873,0.258,0.225,0.251,0.13,0.368,16.5
2874,0.176,0.174,0.151,0.104,0.285,15.8
2875,0.086,0.126,0.051,0.051,0.242,14.8
2876,0.03,0.029,0.029,0.029,0.029,13.7
2877,0.003,0.003,0.003,0.003,0.003,13.6
2878,0,0,0,0,0,13.2
2879,0,0,0,0,0,13.4
2880,0,0,0,0,0,13.3
2881,0,0,0,0,0,13.4
2882,0,0,0,0,0,13.6
2883,0,0,0,0,0,13.9
2884,0,0,0,0,0,14.2
2885,0,0,0,0,0,14.3
2886,0,0,0,0,0,14.4
2887,0.013,0.011,0.012,0.011,0.012,15
2888,0.024,0.022,0.022,0.022,0.022,15.7
2889,0.04,0.036,0.036,0.036,0.037,16.8
2890,0.061,0.056,0.056,0.056,0.056,17.8
2891,0.112,0.098,0.109,0.108,0.099,18.7
2892,0.184,0.147,0.197,0.178,0.167,19.2
2893,0.213,0.169,0.229,0.191,0.207,19.6
2894,0.254,0.202,0.271,0.209,0.264,19.9
2895,0.283,0.228,0.298,0.208,0.318,19.9
2896,0.271,0.226,0.278,0.17,0.334,20.3
2897,0.244,0.214,0.241,0.106,0.372,20.2
2898,0.171,0.18,0.142,0.067,0.354,20
2899,0.088,0.136,0.049,0.049,0.264,19.4
2900,0.025,0.024,0.024,0.024,0.024,17.8
2901,0.003,0.003,0.003,0.003,0.003,18.5
2902,0,0,0,0,0,17.9
2903,0,0,0,0,0,18.1
2904,0,0,0,0,0,17.7
2905,0,0,0,0,0,17.4
2906,0,0,0,0,0,17
2907,0,0,0,0,0,17
2908,0,0,0,0,0,15.9
